date,price,volume,price_return,log_return
2022-07-26,21254.67,177817.24326,,
2022-07-27,22952.45,210971.19796,0.07987797505207106,0.07684804868982513
2022-07-28,23842.93,236029.0741,0.038796729760875115,0.03806305270838894
2022-07-29,23773.75,198298.50623,-0.0029014890367921042,-0.0029057065160629104
2022-07-30,23643.51,151060.13211,-0.005478311162521732,-0.0054933721401181045
2022-07-31,23293.32,127743.32483,-0.014811252643960215,-0.014922034485878831
2022-08-01,23268.01,144210.16219,-0.0010865776110919878,-0.001087168364516185
2022-08-02,22987.79,158073.28225,-0.012043144213879864,-0.012116250420426194
2022-08-03,22818.37,145948.80995,-0.007369999464933441,-0.007397292091435454
2022-08-04,22622.98,154854.67016,-0.008562837748708585,-0.008599709479179367
2022-08-05,23312.42,175251.69749,0.030475207068211052,0.030020061930577643
2022-08-06,22954.21,83911.80307,-0.01536562913674333,-0.01548490381388308
2022-08-07,23174.39,88890.00877,0.009592140178206865,0.009546427689530375
2022-08-08,23810.0,170958.44152,0.027427259142527527,0.02705787086036656
2022-08-09,23149.95,143182.50858,-0.027721545569088568,-0.028113039796074532
2022-08-10,23954.05,208916.54953,0.034734416273037194,0.03414479115449657
2022-08-11,23934.39,249759.79557,-0.0008207380380352847,-0.0008210750278983731
2022-08-12,24403.68,174207.5704,0.019607351597429545,0.01941760376984897
2022-08-13,24441.38,152852.25435,0.0015448489735974125,0.0015436569219570487
2022-08-14,24305.24,151206.14473,-0.005570061919580649,-0.005585632561017508
2022-08-15,24094.82,242539.54758,-0.008657392397688812,-0.008695085325241067
2022-08-16,23854.74,179324.94821,-0.009963967358959214,-0.01001393990872997
2022-08-17,23342.66,210668.68766,-0.021466593222143726,-0.021700351923622782
2022-08-18,23191.2,144185.97011,-0.006488549291297496,-0.0065096914314182845
2022-08-19,20834.39,283995.87747,-0.10162518541515753,-0.10716790958304105
2022-08-20,21140.07,183041.68363,0.014671895841442906,0.014565304906857087
2022-08-21,21515.61,159200.6841,0.017764368802941632,0.017608426506096567
2022-08-22,21399.83,222222.04526,-0.0053812092708502846,-0.005395740129964921
2022-08-23,21529.12,200967.77164,0.006041636779357429,0.00602345926973469
2022-08-24,21368.08,174383.22046,-0.0074801013696795815,-0.007508217623966096
2022-08-25,21559.04,169915.78301,0.008936694359062525,0.008896998430986994
2022-08-26,20241.05,273811.61955,-0.061133983702428396,-0.06308249760374372
2022-08-27,20037.6,162582.46032,-0.010051356031431258,-0.010102211978267828
2022-08-28,19555.61,139307.95976,-0.024054277957439862,-0.024348306776797283
2022-08-29,20285.73,210509.49545,0.03733557787253883,0.03665548140456874
2022-08-30,19811.66,256634.35529,-0.02336962978408963,-0.023647029931174457
